date,time,away,score_away,home,score_home,audience,
"Thu, Nov 7, 2019",8:00p,Boston Celtics,108,Charlotte Hornets,87,"18,487",
"Thu, Nov 7, 2019",8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,"18,354",
"Thu, Nov 7, 2019",9:00p,Miami Heat,124,Phoenix Suns,108,"15,498",
"Thu, Nov 7, 2019",10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,"19,068",
"Fri, Nov 8, 2019",7:00p,Detroit Pistons,106,Indiana Pacers,112,"15,544",
"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,86,Orlando Magic,118,"17,021",
"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,113,Washington Wizards,100,"16,946",
"Fri, Nov 8, 2019",7:30p,Sacramento Kings,121,Atlanta Hawks,109,"16,447",
"Fri, Nov 8, 2019",8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,"15,647",
"Fri, Nov 8, 2019",8:00p,Toronto Raptors,122,New Orleans Pelicans,104,"16,337",
"Fri, Nov 8, 2019",8:30p,New York Knicks,106,Dallas Mavericks,102,"20,257",
"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,97,Denver Nuggets,100,"19,520",
"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,100,Utah Jazz,103,"18,306",
"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,"20,089",
"Fri, Nov 8, 2019",10:30p,Miami Heat,80,Los Angeles Lakers,95,"18,997",
"Sat, Nov 9, 2019",5:00p,Boston Celtics,135,San Antonio Spurs,115,"18,354",
"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,"18,513",
"Sat, Nov 9, 2019",8:00p,Houston Rockets,117,Chicago Bulls,94,"20,482",
"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,"15,753",
"Sat, Nov 9, 2019",8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,"18,203",
"Sun, Nov 10, 2019",3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,"13,553",
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,"17,118",
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,"20,311",
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,"18,203",
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,"19,812",
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,"17,290",
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,"20,041",
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,"18,997",
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,"12,526",
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,"18,624",
"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,"18,627",
"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,"16,695",
"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,"18,064",
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,"19,068",
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,"15,838",
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,"20,294",
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,"19,600",
"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,"18,668",
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,"18,327",
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,"18,055",
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,"18,306",
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,"16,358",
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,"13,155",
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,"15,113",
"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,"19,156",
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,"18,055",
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,"11,581",
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,"18,997",
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,"19,544",
"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,"17,374",
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,"17,627",
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,"17,147",
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,"19,812",
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,"15,143",
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,"18,394",
"Fri, Nov 15, 2019",7:00p,Detroit Pistons,106,Charlotte Hornets,109,"16,778",
"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,109,Orlando Magic,111,"16,296",
"Fri, Nov 15, 2019",8:00p,Indiana Pacers,102,Houston Rockets,111,"18,055",
"Fri, Nov 15, 2019",8:00p,Utah Jazz,106,Memphis Grizzlies,107,"16,422",
"Fri, Nov 15, 2019",8:00p,Washington Wizards,137,Minnesota Timberwolves,116,"12,716",
"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,"18,203",
"Fri, Nov 15, 2019",10:30p,Boston Celtics,105,Golden State Warriors,100,"18,064",
"Fri, Nov 15, 2019",10:30p,Sacramento Kings,97,Los Angeles Lakers,99,"18,997",
"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,117,Chicago Bulls,111,"19,148",
"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,102,Indiana Pacers,83,"17,024",
"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,103,New York Knicks,102,"19,401",
"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,94,Miami Heat,109,"19,600",
"Sat, Nov 16, 2019",8:00p,Houston Rockets,125,Minnesota Timberwolves,105,"18,978",
"Sat, Nov 16, 2019",8:30p,Toronto Raptors,102,Dallas Mavericks,110,"19,926",
"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,"18,534",
"Sat, Nov 16, 2019",10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,"19,068",
"Sun, Nov 17, 2019",3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,"19,432",
"Sun, Nov 17, 2019",3:30p,Boston Celtics,99,Sacramento Kings,100,"16,633",
"Sun, Nov 17, 2019",6:00p,Denver Nuggets,131,Memphis Grizzlies,114,"14,227",
"Sun, Nov 17, 2019",6:00p,Washington Wizards,121,Orlando Magic,125,"16,344",
"Sun, Nov 17, 2019",7:00p,Golden State Warriors,100,New Orleans Pelicans,108,"16,812",
"Sun, Nov 17, 2019",9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,"18,997",
"Mon, Nov 18, 2019",7:00p,Cleveland Cavaliers,105,New York Knicks,123,"17,097",
"Mon, Nov 18, 2019",7:30p,Indiana Pacers,115,Brooklyn Nets,86,"14,140",
"Mon, Nov 18, 2019",7:30p,Charlotte Hornets,96,Toronto Raptors,132,"19,800",
"Mon, Nov 18, 2019",8:00p,Milwaukee Bucks,115,Chicago Bulls,101,"17,565",
"Mon, Nov 18, 2019",8:00p,Portland Trail Blazers,108,Houston Rockets,132,"18,055",
"Mon, Nov 18, 2019",8:30p,San Antonio Spurs,110,Dallas Mavericks,117,"19,637",
"Mon, Nov 18, 2019",9:00p,Boston Celtics,99,Phoenix Suns,85,"15,193",
"Mon, Nov 18, 2019",9:00p,Minnesota Timberwolves,112,Utah Jazz,102,"18,306",
"Mon, Nov 18, 2019",10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,"19,068",
"Tue, Nov 19, 2019",8:00p,Golden State Warriors,114,Memphis Grizzlies,95,"14,511",
"Tue, Nov 19, 2019",8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,"15,021",
"Tue, Nov 19, 2019",10:00p,Phoenix Suns,116,Sacramento Kings,120,"16,732",
"Tue, Nov 19, 2019",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,"18,997",
"Wed, Nov 20, 2019",7:00p,New York Knicks,104,Philadelphia 76ers,109,"20,384",
"Wed, Nov 20, 2019",7:00p,San Antonio Spurs,132,Washington Wizards,138,"14,579",
"Wed, Nov 20, 2019",7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,"16,441",
"Wed, Nov 20, 2019",7:30p,Charlotte Hornets,91,Brooklyn Nets,101,"14,011",
"Wed, Nov 20, 2019",7:30p,Golden State Warriors,94,Dallas Mavericks,142,"19,569",
"Wed, Nov 20, 2019",7:30p,Cleveland Cavaliers,100,Miami Heat,124,"19,600",
"Wed, Nov 20, 2019",7:30p,Orlando Magic,97,Toronto Raptors,113,"19,800",
"Wed, Nov 20, 2019",8:00p,Detroit Pistons,89,Chicago Bulls,109,"18,119",
"Wed, Nov 20, 2019",8:00p,Utah Jazz,103,Minnesota Timberwolves,95,"13,177",
"Wed, Nov 20, 2019",9:00p,Houston Rockets,95,Denver Nuggets,105,"17,778",
"Wed, Nov 20, 2019",10:00p,Boston Celtics,104,Los Angeles Clippers,107,"19,068",
"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,"17,385",
"Thu, Nov 21, 2019",10:30p,New Orleans Pelicans,124,Phoenix Suns,121,"13,903",
"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,103,Detroit Pistons,128,"15,399",
"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,118,Washington Wizards,125,"15,053",
"Fri, Nov 22, 2019",7:30p,Sacramento Kings,97,Brooklyn Nets,116,"15,619",
"Fri, Nov 22, 2019",8:00p,Miami Heat,116,Chicago Bulls,108,"18,953",
"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,"18,203",
"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,"20,927",
"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,"19,639",
"Fri, Nov 22, 2019",9:00p,Boston Celtics,92,Denver Nuggets,96,"19,520",
"Fri, Nov 22, 2019",9:00p,Golden State Warriors,109,Utah Jazz,113,"18,306",
"Fri, Nov 22, 2019",10:30p,Houston Rockets,119,Los Angeles Clippers,122,"19,068",
"Sat, Nov 23, 2019",5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,"17,362",
"Sat, Nov 23, 2019",7:00p,Chicago Bulls,116,Charlotte Hornets,115,"17,891",
"Sat, Nov 23, 2019",7:00p,Orlando Magic,106,Indiana Pacers,111,"16,446",
"Sat, Nov 23, 2019",7:30p,Toronto Raptors,119,Atlanta Hawks,116,"16,931",
"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,111,New York Knicks,104,"19,320",
"Sat, Nov 23, 2019",7:30p,Miami Heat,86,Philadelphia 76ers,113,"21,017",
"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,"19,432",
"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,"17,794",
"Sat, Nov 23, 2019",8:30p,Detroit Pistons,90,Milwaukee Bucks,104,"17,585",
"Sat, Nov 23, 2019",9:00p,New Orleans Pelicans,120,Utah Jazz,128,"18,306",
"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,137,Houston Rockets,123,"18,055",
"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,103,New York Knicks,101,"18,770",
"Sun, Nov 24, 2019",6:00p,Sacramento Kings,113,Washington Wizards,106,"15,885",
"Sun, Nov 24, 2019",8:00p,Phoenix Suns,104,Denver Nuggets,116,"19,520",
"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,"19,068",
"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,"17,143",
"Mon, Nov 25, 2019",7:00p,Orlando Magic,88,Detroit Pistons,103,"14,695",
"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,114,Indiana Pacers,126,"15,141",
"Mon, Nov 25, 2019",7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,"16,218",
"Mon, Nov 25, 2019",7:30p,Sacramento Kings,102,Boston Celtics,103,"19,156",
"Mon, Nov 25, 2019",7:30p,Charlotte Hornets,100,Miami Heat,117,"19,600",
"Mon, Nov 25, 2019",7:30p,Philadelphia 76ers,96,Toronto Raptors,101,"19,800",
"Mon, Nov 25, 2019",8:00p,Portland Trail Blazers,117,Chicago Bulls,94,"18,776",
"Mon, Nov 25, 2019",8:00p,Utah Jazz,118,Milwaukee Bucks,122,"17,385",
"Mon, Nov 25, 2019",8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,"18,498",
"Mon, Nov 25, 2019",10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,"18,064",
"Tue, Nov 26, 2019",8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,"20,407",
"Tue, Nov 26, 2019",9:00p,Washington Wizards,104,Denver Nuggets,117,"18,673",
"Wed, Nov 27, 2019",7:00p,Brooklyn Nets,110,Boston Celtics,121,"19,156",
"Wed, Nov 27, 2019",7:00p,Detroit Pistons,101,Charlotte Hornets,102,"15,535",
"Wed, Nov 27, 2019",7:00p,Orlando Magic,116,Cleveland Cavaliers,104,"17,712",
"Wed, Nov 27, 2019",7:00p,Utah Jazz,102,Indiana Pacers,121,"17,027",
"Wed, Nov 27, 2019",7:00p,Sacramento Kings,91,Philadelphia 76ers,97,"20,592",
"Wed, Nov 27, 2019",7:30p,New York Knicks,98,Toronto Raptors,126,"19,800",
"Wed, Nov 27, 2019",8:00p,Miami Heat,108,Houston Rockets,117,"18,055",
"Wed, Nov 27, 2019",8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,"16,721",
"Wed, Nov 27, 2019",8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,"17,525",
"Wed, Nov 27, 2019",8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,"18,354",
"Wed, Nov 27, 2019",9:00p,Washington Wizards,140,Phoenix Suns,132,"14,123",
"Wed, Nov 27, 2019",9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,"18,626",
"Wed, Nov 27, 2019",10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,"19,870",
"Wed, Nov 27, 2019",10:30p,Chicago Bulls,90,Golden State Warriors,104,"18,064",
"Fri, Nov 29, 2019",12:00p,Boston Celtics,107,Brooklyn Nets,112,"17,732",
"Fri, Nov 29, 2019",7:00p,Charlotte Hornets,110,Detroit Pistons,107,"15,006",
"Fri, Nov 29, 2019",7:00p,Toronto Raptors,90,Orlando Magic,83,"17,014",
"Fri, Nov 29, 2019",7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,"19,432",
"Fri, Nov 29, 2019",7:30p,Philadelphia 76ers,101,New York Knicks,95,"18,109",
"Fri, Nov 29, 2019",8:00p,Atlanta Hawks,104,Indiana Pacers,105,"15,827",
"Fri, Nov 29, 2019",8:00p,Utah Jazz,103,Memphis Grizzlies,94,"16,605",
"Fri, Nov 29, 2019",8:00p,Golden State Warriors,105,Miami Heat,122,"19,600",
"Fri, Nov 29, 2019",8:00p,New Orleans Pelicans,104,Oklahoma City Thunder,109,"18,203",
"Fri, Nov 29, 2019",8:30p,Los Angeles Clippers,97,San Antonio Spurs,107,"18,354",
"Fri, Nov 29, 2019",9:00p,Dallas Mavericks,120,Phoenix Suns,113,"18,055",
"Fri, Nov 29, 2019",10:00p,Chicago Bulls,103,Portland Trail Blazers,107,"20,139",
"Fri, Nov 29, 2019",10:30p,Washington Wizards,103,Los Angeles Lakers,125,"18,997",
"Sat, Nov 30, 2019",5:00p,Denver Nuggets,97,Sacramento Kings,100,"17,583",
"Sat, Nov 30, 2019",7:00p,Indiana Pacers,116,Philadelphia 76ers,119,"20,517",
"Sat, Nov 30, 2019",8:00p,Atlanta Hawks,111,Houston Rockets,158,"18,055",
"Sat, Nov 30, 2019",8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,"17,550",
